         273786 function calls (273785 primitive calls) in 0.183 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       70    0.000    0.000    0.000    0.000 __init__.py:1590(get_texture)
       70    0.000    0.000    0.000    0.000 vertexdomain.py:347(__init__)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 queue.py:34(__init__)
       71    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 minesweeper.py:72(create_grid)
        1    0.000    0.000    0.000    0.000 minesweeper.py:76(<listcomp>)
        1    0.000    0.000    0.000    0.000 cProfile.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 queue.py:206(_init)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


